Pos,Age,MP,Min,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasMedCmp,PasMedAtt,PasLonCmp,PasLonAtt,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasOff,PasOut,ScaDrib,ScaFld,ScaDef,GcaDrib,GcaDef,Tkl,TouAttPen,DriSucc%,PKwon,PKcon,OG
MF,20,3,106,0,0,0,0,0,0,0,0,0,0,40.8,49.2,727.5,134.2,18.3,20,18.3,21.7,4.17,5.83,0,1.67,2.5,1.67,0.83,3.33,49.2,0,0,0,0,0,0,0,2.5,0,50,0,0,0
DF,23,2,41,0,2,0,0,0,0,14.9,0,0,0,32,36,796,384,8,8,14,14,10,14,0,0,4,0,0,2,36,0,0,0,0,0,0,0,0,4,0,0,2,0
MF,26,10,586,0,0.62,0,0,0,0,23.6,0,0,0,40.6,48.2,870.6,204,14.6,16.9,16.3,18.8,9.23,11.1,0.31,1.69,4.92,0.31,0.15,4.46,48.2,0,0.77,0,0,0,0,0,0.92,1.08,60,0,0.15,0
MFFW,23,11,650,0,1.25,0.28,22.2,0,0,21.5,0,0,0,21.9,30.1,349,102.5,11.5,14.7,7.08,9.17,1.67,3.06,0,0.42,2.36,0.56,0,3.47,30.1,0.42,0.28,0.14,0.14,0.14,0,0,2.92,1.94,73.7,0,0,0
DF,29,6,318,0,0,0,0,0,0,0,0,0,0,50.6,63.1,865.4,389.4,24.9,29.1,21.1,23.4,4.29,8.57,0,0,4.29,1.71,0.29,5.14,63.1,0,0.29,0,0,0,0,0,2.29,1.14,60,0,0,0
MF,20,11,874,0.21,0.82,0.31,37.5,0.25,0.67,21,0,0,0,25.3,30,413.6,87.9,13.2,14.5,10.1,10.9,1.65,2.99,0,0.72,2.27,0.41,0.1,2.47,30,0.1,0.52,0,0,0.1,0,0,1.13,1.65,42.9,0,0,0
MF,28,10,462,0,0.59,0.2,33.3,0,0,16.2,0,0,0,20.6,32.4,334.5,101.6,10.2,14.1,7.84,12.2,1.57,4.12,0,1.18,1.37,1.18,0,2.75,32.4,0,1.37,0.2,0.2,0,0,0,3.33,2.94,53.3,0,0,0
DF,27,10,900,0,0.3,0,0,0,0,18.2,0,0,0,42.6,50.7,982.6,286.5,10.4,11.5,21.2,23.1,10.8,15.1,0,0.1,2.4,0.2,0.1,2.6,50.7,0.3,1.3,0,0,0,0,0,2.4,0.3,100,0,0.1,0
DF,26,10,580,0.16,0.94,0.47,50,0.17,0.33,17.3,0,0,0,41.9,55.2,769.1,332.3,18.4,20.9,16.9,21.1,5.47,10.6,0,1.09,3.44,1.41,0.78,4.84,55.2,0.47,1.41,0.31,0,0,0,0,2.34,1.88,52.2,0,0.16,0
DF,21,9,649,0,0.83,0.28,33.3,0,0,14.7,0,0,0,42.8,51,721.3,266.4,21.9,24.3,17.8,20,2.64,4.31,0,0.83,3.19,1.67,0.56,5,51,0.14,0.42,0.42,0,0,0,0,2.22,2.92,55.6,0,0.14,0.14
