Pos,Age,MP,Min,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasMedCmp,PasMedAtt,PasLonCmp,PasLonAtt,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasOff,PasOut,ScaDrib,ScaFld,ScaDef,GcaDrib,GcaDef,Tkl,TouAttPen,DriSucc%,PKwon,PKcon,OG
FW,25,9,218,0,1.67,0.83,50,0,0,12.3,0,0,0,13.8,21.7,176.3,42.1,8.33,11.3,3.33,6.25,0.42,1.25,0,0.83,0.42,0,0,1.25,21.7,0,0,0.42,0,0,0,0,0.83,5,40,0,0,0
DF,23,10,866,0.1,1.35,0.52,38.5,0.08,0.2,18.2,0,0,0,41.6,49.8,737.9,234.4,20,21.6,16.4,19.5,4.48,6.67,0,0.31,1.98,0.52,0.1,2.29,49.8,0.21,0.63,0,0.1,0,0,0,1.25,2.08,60,0,0,0
DF,29,2,179,0,2,0,0,0,0,15.2,0,0,0,51,61.5,1126.5,344.5,14.5,16.5,25,28,11,16.5,0,0,2.5,0,0,4.5,61.5,0.5,0,0,0,0,0,0,1,2,0,0,0,0
GK,34,10,900,0,0,0,0,0,0,0,0,0,0,28.3,33.2,730.5,387.8,5.4,5.4,15.3,15.6,7.6,12.1,0,0,0.3,0,0,0,33.2,0,0.7,0,0,0,0,0,0,0,0,0,0,0
MFFW,26,1,20,0,10,5,50,0,0,24.5,0,0,0,15,20,245,0,10,15,5,5,0,0,0,0,0,0,0,0,20,0,0,0,5,0,0,0,0,10,0,0,0,0
MFFW,26,5,85,0,1.11,0,0,0,0,12.2,0,0,0,13.3,18.9,188.9,37.8,8.89,10,3.33,6.67,1.11,1.11,0,1.11,1.11,1.11,1.11,0,18.9,1.11,1.11,0,0,0,0,0,1.11,3.33,0,0,0,0
DF,20,9,442,0.41,1.02,0.41,40,0.4,1,14.1,0,0,0,44.3,54.9,799,269.2,18.8,20.8,21.4,25.7,3.88,7.96,0.2,0.41,2.45,0.82,0.41,2.45,54.9,0.2,0.61,0,0,0,0,0,2.45,1.84,0,0,0,0
GK,22,1,90,0,0,0,0,0,0,0,0,0,0,20,30,842,616,3,3,7,7,10,20,0,0,1,0,0,0,30,0,2,0,0,0,0,0,0,0,0,0,0,0
DFMF,29,10,557,0.16,2.58,0.97,37.5,0.06,0.17,16.8,0,0,0,36.9,45.2,560.8,173.7,22.9,25,10.6,11.9,2.58,5.16,0,1.77,0.65,1.77,0.16,3.23,45.2,0.32,0.97,0.48,0.16,0,0,0,2.1,5.48,66.7,0,0,0
DF,30,10,698,0,0.51,0,0,0,0,24.5,0,0,0,52.2,59.7,1011.9,265.8,22.7,24.7,21.4,23.6,7.82,9.62,0.13,0.77,2.82,0.64,0.26,3.46,59.7,0,0.51,0,0,0.13,0,0,1.41,1.03,50,0,0,0
MFFW,20,10,333,0.54,2.97,1.08,36.4,0.18,0.5,11,0,0,0,29.2,35.4,443.5,76.5,16.8,19.5,9.19,10.5,2.43,3.24,0,0.27,1.62,0.54,0,1.35,35.4,0.27,0,0,0,0,0,0,2.43,6.49,66.7,0,0,0
GK,23,2,136,0,0,0,0,0,0,0,0,0,0,12.7,35.3,644,476.7,0,0,3.33,3.33,9.33,32,0,0,0,0,0,0,35.3,0.67,0.67,0,0,0,0,0,0,0,0,0,0,0
MF,30,10,791,0.23,1.36,0.57,41.7,0.17,0.4,13.3,0,0,0,50.6,57.3,950.9,247.4,21.1,22.8,21.1,23,7.39,10.1,0.11,0.45,5.11,0.34,0,4.2,57.3,0.23,0.45,0.11,0,0,0,0,1.36,1.48,75,0,0,0
DF,24,4,326,0,0.28,0,0,0,0,6,0,0,0,44.4,48.9,849.2,296.1,16.7,18.6,21.1,21.9,5.56,6.94,0,0,0.83,0,0,2.5,48.9,0,1.67,0,0,0,0,0,2.5,0.28,0,0,0,0
FWMF,17,2,12,0,0,0,0,0,0,0,0,0,0,90,140,1490,320,60,80,10,20,20,20,0,0,0,0,0,0,140,0,0,0,10,0,0,0,0,0,66.7,0,0,0
MF,30,8,442,0.2,1.43,0.41,28.6,0.14,0.5,21.6,0,0,0,49.6,60.8,965.3,293.5,19.2,22,22.4,26.7,7.14,10.4,0.2,1.02,5.51,0.41,0,5.51,60.8,0.2,0.82,0,0,0.2,0,0.2,4.49,0.61,50,0,0,0
MF,30,1,8,0,0,0,0,0,0,0,0,0,0,60,70,1340,400,20,30,30,30,10,10,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0
DF,25,10,780,0,0.57,0.11,20,0,0,23.4,0,0,0,37.9,49.4,677,257.4,16.6,18.9,17.5,20.8,3.1,7.59,0,0.8,2.76,1.38,0.92,3.45,49.4,0.23,0.8,0.11,0,0,0,0,2.64,1.38,75,0,0.11,0
DF,26,11,921,0.1,0.59,0.39,66.7,0.17,0.25,10.9,0,0,0,43.7,53.1,666.2,231.9,27.5,30.5,12.8,15.8,2.65,5.2,0.2,0.59,2.16,0.98,0.49,3.33,53.1,0.1,0.49,0,0,0.1,0,0,1.86,2.06,42.9,0,0,0
MF,32,4,220,0,0.83,0,0,0,0,26.1,0,0,0,37.1,53.8,670.8,257.5,17.9,20.8,15,21.3,3.33,10,0,3.33,3.33,0.83,0.42,6.25,53.8,0,1.25,0,0,0,0,0,2.5,0.42,100,0,0,0
GK,30,11,990,0,0,0,0,0,0,0,0,0,0,34.2,42.6,1159.8,681.4,4.91,4.91,12.1,12.1,17.1,25.5,0,0,1.18,0,0,0,42.6,0.09,0.55,0,0,0,0,0,0,0,0,0,0,0
FW,24,11,908,0.2,2.18,0.4,18.2,0.09,0.5,15.6,0,0,0,9.21,13.6,135.5,30.8,5.54,7.13,2.87,4.65,0.59,0.99,0,0.79,0.59,0.59,0.1,1.29,13.6,0.1,0.2,0,0.2,0,0,0,0.69,4.75,40,0,0,0
DF,27,11,749,0,0.48,0.12,25,0,0,13.8,0,0,0,39.5,46.4,729.3,248.6,15.9,17.1,19.8,22.4,3.49,6.27,0,0.12,3.25,0,0,2.77,46.4,0,0.6,0,0,0,0,0,1.93,0.6,83.3,0,0,0
FWMF,27,7,509,0.35,2.63,0.53,20,0.13,0.67,18.9,0.18,0,0,31.1,37.5,521.8,128.9,15.8,17,11.9,13.7,2.63,5.09,0,1.58,3.16,1.75,0.53,3.68,37.5,0,0.88,0.88,0,0.18,0,0,0.88,3.33,65.4,0,0,0
DF,28,11,934,0,0.77,0.1,12.5,0,0,21.6,0,0,0,53.4,62.5,905.2,296.7,26.1,27.6,21.1,24.5,5.1,6.83,0,0.19,3.85,0.67,0.1,3.85,62.5,0.1,0.67,0.1,0.1,0.1,0,0,2.31,1.35,73.3,0,0,0
MF,28,9,652,0,0.28,0,0,0,0,27.5,0,0,0,50,59.9,883.6,316.9,24.6,26,18.5,21.5,5.83,10.4,0,1.11,4.58,0.69,0.14,4.03,59.9,0,0.56,0,0,0,0,0,1.25,0,80,0,0,0
DF,27,11,990,0.09,0.27,0.18,66.7,0.33,0.5,8,0,0,0,47.5,56.6,1272.2,388.2,9.18,10.4,21.5,23.4,16.7,22.5,0.09,0.18,3.82,0.09,0,3,56.6,0.36,1.55,0,0,0,0,0,0.55,0.55,0,0,0,0
FW,20,4,216,0.42,4.17,1.67,40,0.1,0.25,20.7,0,0,0,16.3,24.2,242.9,62.9,10,13.3,3.75,5.42,1.67,3.75,0,0.42,0.42,2.08,0.42,2.08,24.2,0,1.25,0.42,0,0,0,0,0.42,4.17,37.5,0,0,0
DF,25,7,609,0,0.29,0,0,0,0,20,0,0,0,46.9,52.6,915.4,309.3,16,17.6,24.7,26.8,5.44,7.21,0,0.15,3.82,0.15,0,3.68,52.6,0,0.88,0,0,0,0,0,1.62,0.29,0,0,0,0
FW,35,6,413,0.87,2.39,0.87,36.4,0.18,0.5,17.1,0.22,0.43,0.65,16.5,21.7,324.1,49.1,8.04,10,5,7.17,2.61,3.26,0.22,0.87,0.87,0.43,0.22,1.3,21.7,0,0.43,0,0,0,0,0,0.22,4.13,100,0,0,0
MF,26,7,169,0,1.05,0.53,50,0,0,23,0,0,0,78.9,84.2,1353.7,340,40.5,44.2,26.8,27.9,9.47,9.47,0.53,4.21,7.89,1.05,0,10.5,84.2,0,0,0,1.05,0,0,0,4.74,1.05,42.9,0,0,0
DF,30,5,343,0,0.26,0,0,0,0,36,0,0,0,33.9,43.4,688.7,293.7,11.6,12.9,17.1,20,5,9.21,0,0.79,3.95,0.79,0,2.89,43.4,0,0.79,0,0,0.26,0,0,0.53,1.58,50,0,0,0
FW,28,11,762,0.35,1.88,0.47,25,0.19,0.75,12.7,0,0,0,10.8,15.9,177.2,28,5.29,7.65,4,5.65,1.06,1.29,0,0.24,0.12,0.24,0,0.94,15.9,0.12,0.47,0,0.12,0.12,0,0,1.06,4.24,58.3,0,0,0
FW,21,5,178,0,1,0,0,0,0,11.1,0,0,0,22,25.5,335,118.5,12,13.5,8.5,9,1,2,0,1.5,1,2,0,3,25.5,0,0.5,0.5,0.5,0,0.5,0,1,6.5,28.6,0.5,0,0
DF,25,7,439,0,0.41,0.2,50,0,0,17.4,0,0,0,40.6,54.5,715.3,360.2,18.8,21,16.5,20.8,4.49,10,0,1.84,3.47,1.84,0.61,3.67,54.5,0.41,1.43,0,0,0.2,0,0,3.67,2.24,25,0,0,0
DFMF,26,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MF,28,9,733,0,1.36,0.37,27.3,0,0,20.2,0,0,0,26,34.7,411.4,107.9,13.7,16,9.14,11.7,2.22,4.2,0.12,0.99,1.98,0.86,0.25,2.35,34.7,0,0.25,0,0,0.12,0,0,2.35,2.72,40,0,0,0
GK,27,6,540,0,0,0,0,0,0,0,0,0,0,20.8,26.2,467.5,306.3,5,5,12.2,12.2,3.33,8.67,0,0,0,0,0,0,26.2,0.17,0.17,0,0,0,0,0,0,0,0,0,0.17,0
DF,24,2,126,0,2.14,0,0,0,0,3.2,0,0,0,73.6,80,1738.6,462.9,12.9,13.6,41.4,42.1,17.9,22.1,0,0.71,11.4,0,0,4.29,80,0,2.14,0,0,0,0,0,0.71,2.14,0,0,0,0
DF,17,1,8,0,0,0,0,0,0,0,0,0,0,70,70,1800,700,10,10,30,30,20,20,0,0,10,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0
MFFW,19,10,634,0.29,2.57,0.86,33.3,0.11,0.33,13.5,0,0,0,22.7,30.9,333.4,86.1,14.6,17.4,5.57,7.57,2,3.71,0.57,1.57,1.14,0.86,0.14,1.71,30.9,0.14,0.71,0,0,0,0,0,1.57,5.14,0,0,0,0
MF,27,3,11,0,10,10,100,0,0,10.2,0,0,0,30,40,620,30,10,10,10,20,10,10,0,0,10,0,0,0,40,0,10,0,0,0,0,0,10,10,0,0,0,0
DF,23,5,450,0,0.8,0.2,25,0,0,9.3,0,0,0,54,59.8,1187.8,289.4,13.4,14.2,31.8,34.6,8.6,10.4,0,0,2.2,0.2,0,1,59.8,0.2,0.6,0,0,0,0,0,1,0.8,0,0,0,0
DF,27,3,101,0,0,0,0,0,0,0,0,0,0,58.2,67.3,1196.4,459.1,18.2,19.1,32.7,35.5,7.27,11.8,0,0,2.73,0,0,0.91,67.3,1.82,0.91,0,0,0.91,0,0,1.82,0,0,0,0,0
DF,32,4,79,0,0,0,0,0,0,0,0,0,0,32.2,56.7,733.3,566.7,6.67,13.3,20,32.2,5.56,8.89,0,1.11,4.44,0,0,7.78,56.7,1.11,1.11,0,0,0,0,0,2.22,0,0,0,0,0
FW,33,3,143,0.63,1.88,0.63,33.3,0.33,1,17.1,0,0,0,22.5,26.3,369.4,79.4,12.5,15,6.88,7.5,1.88,1.88,0,1.25,3.13,1.88,0,3.75,26.3,0,0,0,0.63,0,0,0,1.25,1.88,100,0,0,0
DF,27,11,945,0,0.48,0,0,0,0,10.2,0,0,0,39.5,45.9,1001.2,348.9,8.67,9.52,20,21.5,10.7,14.5,0,0.48,3.62,0.57,0.19,2.19,45.9,0.19,0.57,0,0,0,0,0,1.62,0.86,0,0,0,0
MFFW,31,10,456,0.2,1.57,0.78,50,0.13,0.25,23.6,0,0,0,38.6,46.7,611.4,164.9,22.9,24.7,12,14.1,2.94,6.08,0.2,1.37,2.35,0.59,0.2,2.75,46.7,0.39,0.2,0.2,0.2,0,0,0,2.55,2.75,80,0,0,0
FWMF,24,3,45,0,0,0,0,0,0,0,0,0,0,42,56,790,240,14,16,26,32,2,6,0,2,4,2,0,6,56,0,2,0,0,0,0,0,0,2,100,0,0,0
MFFW,19,9,189,0,3.81,0.95,25,0,0,19.7,0.48,0,0,56.7,77.6,961.9,250.5,29,33.3,20,27.1,6.19,13.3,1.43,4.29,0.95,3.33,0.95,4.29,77.6,0,0.95,0.95,0,0.48,0,0.48,0.95,10,41.2,0,0,0
DF,27,2,58,0,0,0,0,0,0,0,0,0,0,71.7,78.3,1253.3,305,30,30,33.3,35,6.67,10,0,0,6.67,1.67,0,10,78.3,0,0,0,0,0,0,0,1.67,1.67,0,0,0,0
GK,20,6,540,0,0,0,0,0,0,0,0,0,0,16.7,27.5,461.5,299.2,3.5,3.5,7.17,7.17,6,16.8,0,0,0,0,0,0,27.5,0,0.33,0,0,0,0,0,0,0,0,0,0,0
DF,17,1,3,0,0,0,0,0,0,0,0,0,0,3,3,41,37,1,1,2,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
DF,25,8,392,0.23,0.45,0.23,50,0.5,1,12.4,0,0,0,50,62,798.4,220.7,25.7,27.3,19.1,22.7,4.32,9.09,0.23,0.23,1.59,0.91,0.91,1.82,62,0,0.23,0,0.23,0,0,0,1.36,1.14,0,0.23,0,0
DF,32,5,342,0,0,0,0,0,0,0,0,0,0,26.1,30.3,533.9,210.5,8.42,8.68,13.4,15.5,3.42,5,0,0.26,1.32,0,0,1.05,30.3,0,0.26,0,0,0,0,0,4.74,0.26,0,0,0,0
MF,25,11,954,0,0.85,0.28,33.3,0,0,20.2,0,0,0,49.1,57.2,945.1,247,23.3,24.9,17.7,19.5,7.17,11.1,0,0.94,7.64,0.57,0,4.43,57.2,0.19,1.04,0.09,0,0.09,0,0,1.51,0.66,100,0,0,0
MF,21,11,856,0,0.42,0,0,0,0,25.2,0,0,0,32.9,39.5,655.5,187.5,12.2,13.9,15.5,16.9,4.74,7.37,0.11,0.95,2.84,0.32,0.11,2.95,39.5,0.11,0.32,0.11,0.11,0.21,0,0,1.58,0.53,55.6,0,0,0
DF,26,3,239,0,0.37,0,0,0,0,5.7,0,0,0,86.7,92.2,1762.2,420.4,26.3,27.8,46.7,48.1,12.6,15.2,0,0,3.7,0,0,2.59,92.2,0,0.74,0,0,0,0,0,0.37,0.37,0,0,0,0
GK,23,11,990,0,0,0,0,0,0,0,0,0,0,25.7,35.3,810.1,530.2,3.45,3.45,12.2,12.5,10,19.3,0,0,0.27,0,0,0,35.3,0,0.55,0,0,0,0,0,0,0,0,0,0,0
MFFW,27,11,651,0.14,1.94,0.56,28.6,0.07,0.25,14.1,0,0,0,23.9,28.9,424.9,85.6,10,11.7,10.3,11.5,2.5,3.89,0,1.11,1.67,0.83,0,3.19,28.9,0.14,0.14,0.14,0.14,0,0,0,2.08,3.33,63.2,0,0,0
MF,19,3,46,0,2,2,100,0,0,9.4,0,0,0,36,46,564,190,24,32,6,6,4,4,0,2,10,0,0,8,46,0,0,0,0,0,0,0,0,12,0,0,0,0
MFFW,23,10,295,0,2.73,0.61,22.2,0,0,17.3,0,0,0,21.2,30.6,382.1,103.9,9.09,12.1,8.48,11.8,3.03,4.85,0.3,2.73,0.61,2.42,0.3,3.33,30.6,0,1.21,0.91,0.3,0,0.3,0,1.21,8.18,37,0,0,0
FW,22,1,27,0,0,0,0,0,0,0,0,0,0,3.33,3.33,43.3,0,3.33,3.33,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0,0,0,3.33,0,0,0,0,0
DF,22,9,765,0.12,0.12,0.12,100,1,1,3,0,0,0,33.1,38.5,778.4,250.6,8.12,8.71,15.5,17.1,8.82,11.8,0,0,2.12,0,0,1.76,38.5,0.35,0.47,0,0,0,0,0,1.06,0.35,66.7,0,0.12,0
MFDF,20,8,279,0,1.94,0.65,33.3,0,0,24.8,0,0,0,26.1,38.7,435.5,94.8,14.8,16.8,7.42,12.6,2.9,5.48,0,0.97,0.65,0.65,0.65,0.97,38.7,0.32,0.32,0,0,0,0,0,2.58,0.97,66.7,0,0,0
FW,37,7,122,0.71,2.86,0.71,25,0,0,16.5,0,0.71,0.71,13.6,24.3,235.7,81.4,5.71,8.57,5,10,2.14,2.86,0,1.43,2.14,2.14,0.71,2.14,24.3,0.71,1.43,0,0.71,0,0,0,0.71,8.57,0,0,0,0
MFDF,28,10,586,0.15,1.38,0.46,33.3,0.11,0.33,19.4,0,0,0,44.3,50.8,970.2,233.5,13.1,14,22.8,25.4,8.46,10.6,0,0.15,4.46,0,0,3.54,50.8,0.31,0.92,0,0,0,0,0,3.08,1.23,50,0,0,0
DF,20,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DFMF,27,9,492,0,1.82,0.55,30,0,0,21.5,0,0,0,39.5,46.4,671.8,196.7,19.8,22,15.5,17.8,3.27,5.27,0.36,1.27,1.27,1.64,1.09,2.18,46.4,0.36,0.55,0,0,0,0,0,1.27,2.36,25,0,0,0
MF,17,1,8,0,0,0,0,0,0,0,0,0,0,10,10,280,200,0,0,10,10,0,0,0,0,0,10,0,10,10,0,0,0,0,0,0,0,0,10,0,0,0,0
MFFW,24,6,162,0,1.67,0.56,33.3,0,0,26,0,0,0,32.8,38.9,431.1,58.9,22.8,23.9,9.44,12.8,0.56,1.67,0,0.56,1.67,0,0,1.11,38.9,0,1.67,0.56,0,0.56,0,0,2.22,3.89,42.9,0,0,0
FWMF,24,2,64,0,2.86,0,0,0,0,25,0,0,0,21.4,25.7,297.1,17.1,14.3,15.7,5.71,7.14,1.43,1.43,0,1.43,0,0,0,0,25.7,0,0,0,0,0,0,0,1.43,0,0,0,0,0
DF,30,11,897,0.1,1.8,0.5,27.8,0.06,0.2,16,0,0,0,39.2,50.5,669.3,267.1,17.7,20.8,18,21.1,2.8,5.8,0.4,1.5,2.7,1.7,0.9,4.3,50.5,0,1.1,0,0,0.1,0,0.1,1.3,4.5,35.3,0,0,0
DF,30,7,602,0,0.6,0.3,50,0,0,13.7,0,0,0,34.9,46.1,572.5,238.1,18.8,20.6,13.7,17.2,2.09,6.12,0.15,0.15,2.09,0.6,0.3,2.69,46.1,0,1.04,0,0.15,0,0,0,1.94,1.04,42.9,0,0,0
DF,31,6,413,0,0,0,0,0,0,0,0,0,0,34.8,42.4,592.8,235.7,14.6,15.9,18,21.7,1.74,3.91,0,0.43,2.61,0,0,2.17,42.4,0,0.87,0,0,0,0,0,1.74,0.22,66.7,0,0,0
DF,29,11,980,0.09,0.18,0.09,50,0.5,1,5,0,0,0,38.3,44.7,933,300,7.98,8.35,20.6,21.7,9.17,13.9,0.09,0.37,2.39,0.09,0,2.2,44.7,0.18,0.92,0,0,0,0,0,0.92,0.55,0,0,0,0
DFMF,26,8,212,0,1.25,0,0,0,0,17,0,0,0,30,40.8,492.1,227.5,17.5,19.2,9.58,12.5,2.5,7.08,0,1.25,2.08,0.83,0.83,3.33,40.8,0,1.67,0,0,0,0,0,3.33,3.75,0,0,0,0
DF,30,7,586,0,0.15,0,0,0,0,10.3,0,0,0,45.4,55.7,1040.2,340.3,10.8,12.9,25.4,28,9.23,14.2,0.15,0,1.85,0.15,0,2.92,55.7,0.15,1.08,0,0,0,0,0,1.08,0.15,0,0,0,0
MF,33,3,127,0,0,0,0,0,0,0,0,0,0,25,27.9,437.1,106.4,10.7,11.4,10.7,11.4,2.86,4.29,0,0.71,3.57,0.71,0.71,2.14,27.9,0,0,0,0,0,0,0,4.29,0,0,0,0,0
DF,34,5,410,0,0.43,0,0,0,0,16.5,0,0,0,30.2,37,515,182,13.5,14.3,13.3,15.7,2.61,4.57,0,0.22,1.3,0.43,0.22,1.74,37,0,0.87,0,0,0,0,0,2.17,0.65,71.4,0,0,0
MFFW,23,6,379,0.24,2.14,0.95,44.4,0.11,0.25,20.7,0,0,0,30.5,38.6,489.5,94,16.9,18.1,10.2,13.6,2.38,4.29,0,1.43,2.62,0.71,0.48,1.19,38.6,0,0.71,0,0,0,0,0,3.57,2.38,36.4,0,0,0
DF,30,9,765,0,0.24,0.12,50,0,0,9.5,0,0,0,39.1,44.6,828.9,255.1,10,10.8,21.6,23.6,6,8.47,0,0,2.82,0.12,0,2.35,44.6,0,0.71,0,0.12,0,0,0,1.88,0.35,100,0,0,0
DF,21,9,752,0,0,0,0,0,0,0,0,0,0,57.9,63.1,1367.4,409.5,13.1,13.6,30.6,31.9,13.5,16.8,0,0.24,5.36,0.12,0,2.86,63.1,0.12,0.24,0,0,0,0,0,1.07,0.6,75,0,0,0
FW,20,9,237,0.38,2.69,1.15,42.9,0.14,0.33,19.6,0,0,0.38,13.5,18.5,165.8,14.2,10.4,14.6,2.31,3.08,0.38,0.38,0,0,0.38,0,0,0.38,18.5,0.77,0.38,0,0,0,0,0,1.92,5.77,0,0,0,0
MFFW,23,7,199,0.45,2.73,0.91,33.3,0.17,0.5,18.6,0,0,0,38.6,43.6,589.1,108.2,23.2,24.5,13.6,15.9,1.82,2.73,0,1.36,2.73,0.45,0,1.82,43.6,0,0,0.45,0,0,0,0,0.91,3.18,66.7,0,0,0
DF,19,2,13,0,0,0,0,0,0,0,0,0,0,60,100,910,710,40,50,20,40,0,10,0,0,10,0,0,20,100,10,0,0,0,0,0,0,0,0,0,0,0,0
MFFW,26,5,356,0.25,2.5,0.5,20,0.1,0.5,16.9,0,0,0,44,52.8,755.8,169,21,23.5,18.8,22.3,3.5,5.75,0.5,2.75,1.25,1.5,0.75,4,52.8,0.75,0.25,0.25,1,0.5,0,0,1.5,8,41.7,0,0,0
DF,24,8,601,0.15,0.9,0.6,66.7,0.17,0.25,19.7,0,0,0,50.6,56.7,1167,275.8,9.55,11,29.9,31.2,10.4,13.4,0,0.15,1.34,0,0,1.04,56.7,0,0.9,0.15,0.3,0,0,0,1.49,0.6,100,0,0,0
MF,26,9,492,0,1.64,0.18,11.1,0,0,13.8,0,0,0,42.4,50.9,824,244,14.9,17.1,20.7,23.8,6,7.64,0,1.27,6.18,0.73,0,7.45,50.9,0.18,1.09,0.18,0,0.18,0,0,4.18,3.27,50,0,0,0
GK,35,10,900,0,0,0,0,0,0,0,0,0,0,34.1,45,1095.9,561.5,4.3,4.3,11.7,11.9,17.9,28.6,0,0,0.5,0,0,0,45,0.1,1.1,0,0,0,0,0,0,0,0,0,0,0
DF,24,5,227,0.4,0.8,0.4,50,0.5,1,15.6,0,0,0,46,56.4,910.8,334.8,16.8,19.6,22.4,25.2,6.4,8.8,0,1.2,2.8,2,0.4,5.6,56.4,0,0,0,0,0,0,0,2.8,1.2,25,0,0.4,0
DF,28,1,23,0,0,0,0,0,0,0,0,0,0,23.3,36.7,320,146.7,20,26.7,3.33,10,0,0,0,0,0,0,0,0,36.7,0,0,0,0,0,0,0,3.33,0,0,0,0,0
MF,25,11,833,0,0.32,0,0,0,0,23.2,0.11,0,0,30.9,38.6,588,145.4,12.2,13.9,14.5,16.3,3.98,6.34,0.11,1.29,2.69,0.86,0.32,3.12,38.6,0.22,0.32,0,0,0,0,0,1.94,0.22,28.6,0,0,0
DF,31,10,778,0,0.12,0,0,0,0,16,0,0,0,35,42.2,853,242.4,5.81,6.86,21.5,23.3,7.56,11.7,0,0.35,1.74,0.12,0.12,1.74,42.2,0,0.81,0,0,0,0,0,1.16,0.58,50,0,0.12,0
DF,31,5,405,0,0.89,0.22,25,0,0,11.9,0,0,0,41.6,53.1,844.7,288.4,14.2,16.4,21.6,26,5.56,10,0,0.22,1.78,0,0,2.44,53.1,0,1.11,0,0,0,0,0,2.22,1.56,0,0,0,0
DF,23,9,731,0,0.37,0,0,0,0,6.7,0,0,0,30.5,38.4,632.8,248.6,10.2,11.5,14.2,15.7,5.43,9.38,0,0.12,1.73,0.12,0,2.1,38.4,0.25,0.74,0,0,0,0,0,2.59,0.49,100,0,0.12,0
DF,18,6,495,0,0.36,0,0,0,0,13.7,0,0,0,34.5,45.8,733.3,339.3,10.5,12.7,17.6,21.6,5.82,10.7,0,0,2.55,0.73,0,3.09,45.8,0.36,0.73,0,0,0,0,0,1.82,0.55,0,0,0.18,0
MF,31,9,412,0.22,0.87,0.22,25,0.25,1,17,0,0,0,27.2,32.6,411.5,87.2,16.3,18.5,8.04,9.35,2.17,3.04,0,0.87,1.3,0.43,0,3.04,32.6,0.65,0.22,0,0.22,0,0,0,3.26,2.61,60,0,0,0
DF,31,10,276,0,0.32,0,0,0,0,27.1,0,0,0,27.7,38.4,456.1,217.1,13.9,16.1,11,15.2,2.9,6.45,0,0.32,1.94,1.29,0.97,2.9,38.4,0,0.65,0,0,0,0,0,1.61,0.97,0,0,0,0
FW,26,5,91,0,4,1,25,0,0,9.6,0,0,0,20,32,268,60,13,18,7,10,0,0,0,0,2,1,0,3,32,1,0,0,0,0,0,0,2,4,0,0,0,0
FW,29,1,62,0,0,0,0,0,0,0,0,0,0,22.9,27.1,402.9,10,10,11.4,11.4,11.4,1.43,4.29,0,1.43,1.43,0,0,0,27.1,0,0,0,0,0,0,0,0,2.86,0,0,0,0
FWMF,27,11,348,0.77,3.33,1.28,38.5,0.23,0.6,14.4,0,0,0,21.5,27.4,304.1,60.3,14.1,15.9,5.38,6.92,1.03,2.31,0,1.28,0.51,1.28,0.26,2.56,27.4,0.26,0.26,0.26,0,0.26,0,0.26,0.51,6.15,50,0,0,0
FW,28,10,290,0.63,1.25,0.94,75,0.5,0.67,7.6,0,0,0,16.3,22.8,275,54.7,7.19,10,6.25,6.88,1.88,2.5,0.31,0.94,0.63,0.63,0,1.56,22.8,0.31,0.31,0,0.63,0,0,0,1.88,3.75,50,0,0,0
DF,23,11,952,0,0.38,0,0,0,0,22.9,0,0,0,49.4,63.1,954.6,361.2,21.2,23.2,21.1,26.1,6.51,11.4,0,0.66,4.34,0.94,0.47,4.91,63.1,0.19,0.75,0.09,0.47,0.09,0,0,3.21,1.23,70,0.09,0,0
MF,21,1,6,0,0,0,0,0,0,0,0,0,0,50,60,800,390,30,30,10,10,10,20,0,0,0,20,0,20,60,0,10,0,0,0,0,0,0,0,0,0,0,0
DF,29,5,311,0,0.29,0,0,0,0,23,0,0,0,33.4,50.6,706.6,348.6,12,16,15.4,21.1,6,12.3,0.29,0.57,5.14,1.43,0.57,6.86,50.6,0,0.57,0,0,0,0,0,1.14,1.71,33.3,0,0,0
MFFW,21,12,770,0.12,1.98,0.47,23.5,0.06,0.25,16.2,0.23,0,0,34.4,41.9,566.7,146.4,17.7,19,13.1,17,2.67,4.19,0.35,1.28,2.33,1.86,0.23,4.53,41.9,0,0.7,0.23,0,0,0.12,0,0.35,3.95,80,0,0,0
FW,34,5,323,0,3.61,0.83,23.1,0,0,8.9,0,0,0,10.3,11.9,146.1,16.9,6.11,6.67,3.61,4.17,0.28,0.28,0,0.56,0.28,0.56,0,0.83,11.9,0,0,0.56,0,0,0,0,0,6.67,80,0,0,0
